experiment,config,model,model_params,optimizer,lr,weight_decay,loss,sampler,best_epoch,monitor,monitor_score,val_acc1,val_acc5,val_macro_acc1,val_balanced_acc1_macro,test_loss,test_acc1,test_acc5,test_macro_acc1,test_macro_f1,test_n,checkpoint,wandb_run
e02_resnet_deep_weighted_ce,configs/experiments/e02_resnet_deep_weighted_ce_pure.yaml,resnet1d,"base64,blocks[3, 4, 6, 3]",adamw,0.001,0.0005,weighted_ce,none,27,val_balanced_acc1_macro,0.627268,0.714148,0.939871,0.540387,0.627268,1.5466,0.6890,0.9331,0.5106,0.5008,46784,checkpoints/e02_resnet_deep_weighted_ce_20260605_082623/best.pt,wandb/wandb/offline-run-20260605_082624-81er4g0z
e02_resnet_deep_label_smoothing,configs/experiments/e02_resnet_deep_label_smoothing.yaml,resnet1d,"base64,blocks[3, 4, 6, 3]",adamw,0.001,0.0005,label_smoothing,none,30,val_balanced_acc1_macro,0.632153,0.769061,0.936387,0.495244,0.632153,1.4182,0.7659,0.9352,0.4674,0.4794,46784,checkpoints/e02_resnet_deep_label_smoothing_20260605_085108/best.pt,wandb/wandb/offline-run-20260605_085109-8z556c87
e02_resnet_deep_focal,configs/experiments/e02_resnet_deep_focal.yaml,resnet1d,"base64,blocks[3, 4, 6, 3]",adamw,0.001,0.0005,focal,none,30,val_balanced_acc1_macro,0.626655,0.747301,0.950367,0.506008,0.626655,0.7198,0.7423,0.9484,0.4843,0.4951,46784,checkpoints/e02_resnet_deep_focal_20260605_091555/best.pt,wandb/wandb/offline-run-20260605_091556-xtpgbk50
