experiment,config,model,model_params,optimizer,lr,weight_decay,loss,sampler,best_epoch,monitor,monitor_score,val_acc1,val_acc5,val_macro_acc1,val_balanced_acc1_macro,test_loss,test_acc1,test_acc5,test_macro_acc1,test_macro_f1,test_n,checkpoint,wandb_run
e05_bigru_patch_weighted_ce_mixed,configs/experiments/e05_bigru_patch_weighted_ce_mixed.yaml,bigru_patch,"patch64,stride64,d128,h256,layers2",adamw,0.001,0.0005,weighted_ce,none,19,val_balanced_acc1_macro,0.409337,0.474531,0.852553,0.344143,0.409337,3.4815,0.4743,0.8527,0.3271,0.3371,46784,checkpoints/e05_bigru_patch_weighted_ce_mixed_20260605_101812/best.pt,wandb/wandb/offline-run-20260605_101813-93bhzzhi
e06_patchtst_weighted_ce_mixed,configs/experiments/e06_patchtst_weighted_ce_mixed.yaml,patchtst,"patch64,stride64,d192,heads8,layers4",adamw,0.001,0.0005,weighted_ce,none,29,val_balanced_acc1_macro,0.400660,0.438770,0.832375,0.362550,0.400660,3.5145,0.4345,0.8337,0.3332,0.3353,46784,checkpoints/e06_patchtst_weighted_ce_mixed_20260605_112143/best.pt,wandb/wandb/offline-run-20260605_112144-7i3p29wf
