experiment,config,model,model_params,optimizer,lr,weight_decay,loss,sampler,best_epoch,monitor,monitor_score,val_acc1,val_acc5,val_macro_acc1,val_balanced_acc1_macro,test_loss,test_acc1,test_acc5,test_macro_acc1,test_macro_f1,test_n,checkpoint,wandb_run
e01_resnet_deep_cbce,configs/experiments/e01_resnet_deep_cbce.yaml,resnet1d,"base64,blocks[3, 4, 6, 3]",adamw,0.001,0.001,class_balanced_ce,none,30,val_balanced_acc1_macro,0.622560,0.707265,0.887801,0.537855,0.622560,6.4759,0.6798,0.8759,0.5021,0.5195,46784,checkpoints/e01_resnet_deep_cbce_20260605_044124/best.pt,wandb/wandb/offline-run-20260605_044124-gt31q6up
e02_resnet_deep_weighted_ce,configs/experiments/e02_resnet_deep_weighted_ce.yaml,resnet1d,"base64,blocks[3, 4, 6, 3]",adamw,0.001,0.0005,weighted_ce,none,28,val_balanced_acc1_macro,0.666396,0.755830,0.944702,0.576961,0.666396,2.4584,0.7365,0.9399,0.5316,0.5239,46784,checkpoints/e02_resnet_deep_weighted_ce_20260605_050827/best.pt,wandb/wandb/offline-run-20260605_050828-jbl6t67d
e03_resnet_small_focal_sampler,configs/experiments/e03_resnet_small_focal_sampler.yaml,resnet1d,"base64,blocks[2, 2, 2, 2]",adam,0.0008,0.0001,focal,class_balanced,28,val_balanced_acc1_macro,0.465830,0.557681,0.881303,0.373979,0.465830,1.3333,0.5545,0.8816,0.3623,0.3937,46784,checkpoints/e03_resnet_small_focal_sampler_20260605_053332/best.pt,wandb/wandb/offline-run-20260605_053333-iajs2vxn
e04_resnet_wide_cbce_light,configs/experiments/e04_resnet_wide_cbce_light.yaml,resnet1d,"base96,blocks[3, 4, 6, 3]",adamw,0.0008,0.001,class_balanced_ce,none,25,val_balanced_acc1_macro,0.668852,0.773208,0.893081,0.564495,0.668852,2.9463,0.7565,0.8842,0.5295,0.5550,46784,checkpoints/e04_resnet_wide_cbce_light_20260605_054820/best.pt,wandb/wandb/offline-run-20260605_054821-r8njsv8q
